obsnme,obsval,weight,standard_deviation,obgnme
wo_bp_0001_20210901,394.2244689,0.0,9.144,oobs
wo_bp_0001_20211001,393.4898279,0.0,9.144,oobs
wo_bp_0001_20211101,393.205889,0.0,9.144,oobs
wo_bp_0001_20211201,393.0460198,0.0,9.144,oobs
wp_bp_0011_20150113,405.5516419,0.0,9.144,burnin
wp_bp_0011_20150218,410.5808417,0.0,9.144,burnin
wp_bp_0011_20150318,410.629583,0.0,9.144,burnin
wp_bp_0011_20150415,410.6875143,0.0,9.144,burnin
wp_bp_0011_20150524,416.0215141,0.0,9.144,burnin
wp_bp_0011_20150610,417.2457742,0.0,9.144,burnin
wp_bp_0011_20150712,414.0784142,0.0,9.144,burnin
wp_bp_0011_20150819,411.4876143,0.0,9.144,burnin
wp_bp_0011_20150915,411.0532594,0.0,9.144,burnin
wp_bp_0011_20151014,410.6341594,0.0,9.144,burnin
wp_bp_0011_20151118,411.8914594,0.0,9.144,burnin
wp_bp_0011_20151215,412.6961358,0.0,9.144,burnin
wp_bp_0011_20160118,411.8762417,0.0,9.144,burnin
wp_bp_0011_20160216,411.4952417,0.0,9.144,burnin
wp_bp_0011_20160323,411.5409319,0.0,9.144,burnin
wp_bp_0011_20160422,412.0438594,0.0,9.144,burnin
wp_bp_0011_20160517,411.8579358,0.0,9.144,burnin
wp_bp_0011_20160614,416.7835141,0.0,9.144,burnin
wp_bp_0011_20160418,406.2130341,0.0,9.144,burnin
wp_bp_0011_20160721,412.8332809,0.5,9.144,zb007
wp_bp_0011_20160817,411.5409319,0.5,9.144,zb007
wp_bp_0011_20160912,411.1751868,0.5,9.144,zb007
wp_bp_0011_20161026,410.6417869,0.5,9.144,zb007
wp_bp_0011_20161123,410.5655869,0.5,9.144,zb007
wp_bp_0011_20161222,410.5808417,0.5,9.144,zb007
wp_bp_0011_20170110,410.550332,0.5,9.144,zb007
wp_bp_0011_20170208,410.5655869,0.5,9.144,zb007
wp_bp_0011_20170317,410.8703869,0.5,9.144,zb007
wp_bp_0011_20170419,411.4190417,0.5,9.144,zb007
wp_bp_0011_20170512,411.1142417,0.5,9.144,zb007
wp_bp_0011_20170613,410.7941869,0.5,9.144,zb007
wp_bp_0011_20170711,410.5930084,0.5,9.144,zb007
wp_bp_0011_20170816,413.4611868,0.5,9.144,zb007
wp_bp_0011_20170915,410.5137575,0.5,9.144,zb007
wp_bp_0011_20171017,413.3697319,0.5,9.144,zb007
wp_bp_0011_20171114,413.3697319,0.5,9.144,zb007
wp_bp_0011_20171218,413.6135868,0.5,9.144,zb007
wp_bp_0011_20180112,407.3042418,0.5,9.144,zb007
wp_bp_0011_20180216,406.4965144,0.5,9.144,zb007
wp_bp_0011_20180313,406.145987,0.5,9.144,zb007
wp_bp_0011_20180515,406.3197066,0.5,9.144,zb007
wp_bp_0011_20180618,405.847289,0.5,9.144,zb007
wp_bp_0011_20180720,405.3230419,0.5,9.144,zb007
wp_bp_0011_20180820,405.0182419,0.5,9.144,zb007
wp_bp_0011_20181014,411.0014672,0.5,9.144,zb007
wp_bp_0011_20181109,410.931332,0.5,9.144,zb007
wp_bp_0011_20181221,410.6570417,0.5,9.144,zb007
wp_bp_0011_20190221,411.6781143,0.5,9.144,zb007
wp_bp_0011_20190319,411.3580594,0.5,9.144,zb007
wp_bp_0011_20190409,411.2056594,0.5,9.144,zb007
wp_bp_0011_20190506,412.9186339,0.5,9.144,zb007
wp_bp_0011_20190606,411.9920672,0.5,9.144,zb007
wp_bp_0011_20190711,411.3824672,0.5,9.144,zb007
wp_bp_0011_20190808,410.9923143,0.5,9.144,zb007
wp_bp_0011_20190911,410.5869065,0.5,9.144,zb007
wp_bp_0011_20191015,410.5351143,0.5,9.144,zb007
wp_bp_0011_20191120,410.4406084,0.5,9.144,zb007
wp_bp_0011_20191218,408.121085,0.5,9.144,zb007
wp_bp_0011_20200114,407.5998889,0.0,9.144,valid
wp_bp_0011_20200219,407.2737321,0.0,9.144,valid
wp_bp_0011_20200317,407.663885,0.0,9.144,valid
