    C2D             x              y 
83189      594463.125    3329352.250 
83190      594516.125    3329405.250 
83191      594516.125    3329299.250 
83192      594569.188    3329352.250 
83193      594569.188    3329458.250 
83194      594622.188    3329511.500 
83195      594622.188    3329405.250 
83196      594675.250    3329458.250 
83197      594357.062    3329034.000 
83198      594410.062    3329087.000 
83199      594410.062    3328981.000 
83200      594463.125    3329034.000 
83201      594463.125    3329140.250 
83202      594516.125    3329193.250 
83203      594516.125    3329087.000 
83204      594569.188    3329140.250 
83205      594463.125    3328928.000 
83206      594516.125    3328981.000 
83207      594516.125    3328875.000 
83208      594569.188    3328928.000 
83209      594569.188    3329034.000 
83210      594622.188    3329087.000 
83211      594622.188    3328981.000 
83212      594675.250    3329034.000 
83213      594569.188    3329246.250 
83214      594622.188    3329299.250 
83215      594622.188    3329193.250 
83216      594675.250    3329246.250 
83217      594675.250    3329352.250 
83218      594728.250    3329405.250 
83219      594728.250    3329299.250 
83220      594781.312    3329352.250 
83221      594675.250    3329140.250 
83222      594728.250    3329193.250 
83223      594728.250    3329087.000 
83224      594781.312    3329140.250 
83225      594781.312    3329246.250 
83226      594834.375    3329299.250 
83227      594834.375    3329193.250 
83228      594887.375    3329246.250 
83229      594569.188    3329670.500 
83230      594622.188    3329723.500 
83231      594622.188    3329617.500 
83232      594675.250    3329670.500 
83233      594675.250    3329776.500 
83234      594728.250    3329829.500 
83235      594728.250    3329723.500 
83236      594781.312    3329776.500 
83237      594675.250    3329564.500 
83238      594728.250    3329617.500 
83239      594728.250    3329511.500 
83240      594781.312    3329564.500 
83241      594781.312    3329670.500 
83242      594834.375    3329723.500 
83243      594834.375    3329617.500 
83244      594887.375    3329670.500 
83245      594781.312    3329882.500 
83246      594834.375    3329935.750 
83247      594834.375    3329829.500 
83248      594887.375    3329882.500 
83249      594887.375    3329988.750 
83250      594940.438    3330041.750 
83251      594940.438    3329935.750 
83252      594993.438    3329988.750 
83253      594887.375    3329776.500 
83254      594940.438    3329829.500 
83255      594940.438    3329723.500 
83256      594993.438    3329776.500 
83257      594993.438    3329882.500 
83258      595046.500    3329935.750 
83259      595046.500    3329829.500 
83260      595099.500    3329882.500 
83261      594781.312    3329458.250 
83262      594834.375    3329511.500 
83263      594834.375    3329405.250 
83264      594887.375    3329458.250 
83265      594887.375    3329564.500 
83266      594940.438    3329617.500 
83267      594940.438    3329511.500 
83268      594993.438    3329564.500 
83269      594887.375    3329352.250 
83270      594940.438    3329405.250 
83271      594940.438    3329299.250 
83272      594993.438    3329352.250 
83273      594993.438    3329458.250 
83274      595046.500    3329511.500 
83275      595046.500    3329405.250 
83276      595099.500    3329458.250 
83277      594993.438    3329670.500 
83278      595046.500    3329723.500 
83279      595046.500    3329617.500 
83280      595099.500    3329670.500 
83281      595099.500    3329776.500 
83282      595152.562    3329829.500 
83283      595152.562    3329723.500 
83284      595205.562    3329776.500 
83285      595099.500    3329564.500 
83286      595152.562    3329617.500 
