obsnme                             value 
wp_bp_0011_20160118       3.98730963E+02 
wp_bp_0011_20160216       3.98793333E+02 
wp_bp_0011_20160323       3.98802058E+02 
wp_bp_0011_20160422       3.98804074E+02 
wp_bp_0011_20160517       3.98826660E+02 
wp_bp_0011_20160614       3.98874713E+02 
wp_bp_0011_20160418       3.98802829E+02 
wp_bp_0011_20160721       3.98948343E+02 
wp_bp_0011_20160817       3.98958696E+02 
wp_bp_0011_20160912       3.98927118E+02 
wp_bp_0011_20161026       3.98836504E+02 
wp_bp_0011_20161123       3.98760458E+02 
wp_bp_0011_20161222       3.98704783E+02 
wp_bp_0011_20170110       3.98692708E+02 
wp_bp_0011_20170208       3.98679569E+02 
wp_bp_0011_20170317       3.98651368E+02 
wp_bp_0011_20170419       3.98618393E+02 
wp_bp_0011_20170512       3.98582073E+02 
wp_bp_0011_20170613       3.98501739E+02 
wp_bp_0011_20170711       3.98404986E+02 
wp_bp_0011_20170816       3.98257701E+02 
wp_bp_0011_20170915       3.98125164E+02 
wp_bp_0011_20171017       3.97986882E+02 
wp_bp_0011_20171114       3.97881714E+02 
wp_bp_0011_20171218       3.97751498E+02 
wp_bp_0011_20180112       3.97650871E+02 
wp_bp_0011_20180216       3.97510396E+02 
wp_bp_0011_20180313       3.97407305E+02 
wp_bp_0011_20180515       3.97140709E+02 
wp_bp_0011_20180618       3.96996783E+02 
wp_bp_0011_20180720       3.96862822E+02 
wp_bp_0011_20180820       3.96734750E+02 
wp_bp_0011_20181014       3.96586628E+02 
wp_bp_0011_20181109       3.96675571E+02 
wp_bp_0011_20181221       3.96938516E+02 
wp_bp_0011_20190221       3.97296618E+02 
wp_bp_0011_20190319       3.97410162E+02 
wp_bp_0011_20190409       3.97454315E+02 
wp_bp_0011_20190506       3.97456338E+02 
wp_bp_0011_20190606       3.97480964E+02 
wp_bp_0011_20190711       3.97579663E+02 
wp_bp_0011_20190808       3.97627826E+02 
wp_bp_0011_20190911       3.97597065E+02 
wp_bp_0011_20191015       3.97491578E+02 
wp_bp_0011_20191120       3.97337559E+02 
wp_bp_0011_20191218       3.97203877E+02 
wp_bp_0011_20200114       3.97070138E+02 
wp_bp_0011_20200219       3.96889960E+02 
wp_bp_0011_20200317       3.96773178E+02 
wp_bp_0011_20200429       3.96670787E+02 
wp_bp_0011_20200520       3.96651291E+02 
wp_bp_0011_20200622       3.96678694E+02 
wp_bp_0011_20200709       3.96734436E+02 
wp_bp_0011_20200811       3.96818214E+02 
wp_bp_0011_20200924       3.96781590E+02 
wp_bp_0011_20201020       3.96738534E+02 
wp_bp_0011_20201124       3.96658235E+02 
wp_bp_0011_20210118       3.96446093E+02 
wp_bp_0011_20210225       3.96269728E+02 
wp_bp_0011_20210324       3.96140384E+02 
