parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom
f31_ds1_045,log,factor,266.72,250.0,300.0,zb001,1.0,0.0,1
f31_ds1_050,log,factor,345.664,320.0,370.0,zb001,1.0,0.0,1
f31_ds1_055,log,factor,407.795,400.0,430.0,zb001,1.0,0.0,1
f31_ds1_060,log,factor,504.518,460.0,520.0,zb001,1.0,0.0,1
f31_ds1_065,log,factor,625.636,550.0,650.0,zb001,1.0,0.0,1
f31_ds1_070,log,factor,687.074,680.0,750.0,zb001,1.0,0.0,1
f40_ds2_015,log,factor,8.54872,5.0,10.0,zb005,1.0,0.0,1
f40_ds2_020,log,factor,35.8758,28.0,40.0,zb005,1.0,0.0,1
f40_ds1_025,log,factor,1.72942,1.0,6.0,zb005,1.0,0.0,1
f40_ds2_025,log,factor,45.822,45.0,55.0,zb005,1.0,0.0,1
f40_ds1_030,log,factor,21.5236,16.0,24.0,zb005,1.0,0.0,1
f40_ds2_030,log,factor,61.7623,58.0,68.0,zb005,1.0,0.0,1
f40_ds1_035,log,factor,32.4891,26.0,40.0,zb005,1.0,0.0,1
f40_ds1_040,log,factor,73.498,65.0,78.0,zb005,1.0,0.0,1
f40_ds1_045,log,factor,89.7349,85.0,100.0,zb005,1.0,0.0,1
f40_ds1_050,log,factor,112.382,110.0,130.0,zb005,1.0,0.0,1
f40_ds1_055,log,factor,169.747,145.0,175.0,zb005,1.0,0.0,1
f40_ds1_060,log,factor,210.606,190.0,220.0,zb005,1.0,0.0,1
f40_ds1_065,log,factor,276.737,235.0,285.0,zb005,1.0,0.0,1
f40_ds1_070,log,factor,336.073,310.0,360.0,zb005,1.0,0.0,1
f40_ds1_075,log,factor,406.993,390.0,450.0,zb005,1.0,0.0,1
f41_ds2_015,log,factor,2.36654,1.0,3.0,zb005,1.0,0.0,1
f41_ds2_020,log,factor,16.9214,10.0,20.0,zb005,1.0,0.0,1
f41_ds1_025,log,factor,5.16654,3.0,10.0,zb005,1.0,0.0,1
f41_ds2_025,log,factor,27.7578,24.0,30.0,zb005,1.0,0.0,1
f41_ds1_030,log,factor,17.9895,16.0,24.0,zb005,1.0,0.0,1
f41_ds2_030,log,factor,36.9575,34.0,40.0,zb005,1.0,0.0,1
f41_ds1_035,log,factor,35.7287,26.0,60.0,zb005,1.0,0.0,1
f41_ds2_035,log,factor,46.3551,42.0,48.0,zb005,1.0,0.0,1
f41_ds1_040,log,factor,169.912,120.0,170.0,zb005,1.0,0.0,1
f41_ds2_040,log,factor,51.7079,50.0,53.0,zb005,1.0,0.0,1
f41_ds1_045,log,factor,206.106,185.0,210.0,zb005,1.0,0.0,1
f41_ds2_045,log,factor,58.2171,55.0,59.0,zb005,1.0,0.0,1
f41_ds1_050,log,factor,235.191,230.0,252.0,zb005,1.0,0.0,1
f41_ds1_055,log,factor,293.936,280.0,320.0,zb005,1.0,0.0,1
f41_ds1_060,log,factor,352.038,345.0,385.0,zb005,1.0,0.0,1
f41_ds1_065,log,factor,447.842,420.0,470.0,zb005,1.0,0.0,1
f42_ds2_015,log,factor,3.51563,1.0,5.0,zb005,1.0,0.0,1
f42_ds1_020,log,factor,0.10051,0.1,2.1,zb005,1.0,-0.1,1
f42_ds2_020,log,factor,13.5137,12.0,16.0,zb005,1.0,0.0,1
f42_ds1_025,log,factor,5.0,5.0,9.0,zb005,1.0,0.0,1
f42_ds2_025,log,factor,18.2777,17.0,19.5,zb005,1.0,0.0,1
f42_ds1_030,log,factor,22.7575,16.0,24.0,zb005,1.0,0.0,1
f42_ds2_030,log,factor,21.8653,21.0,23.0,zb005,1.0,0.0,1
f42_ds1_035,log,factor,33.218,26.0,34.0,zb005,1.0,0.0,1
f42_ds2_035,log,factor,25.2765,25.0,26.5,zb005,1.0,0.0,1
f42_ds1_040,log,factor,40.2891,36.0,44.0,zb005,1.0,0.0,1
f42_ds2_040,log,factor,27.8894,27.0,29.0,zb005,1.0,0.0,1
f42_ds1_045,log,factor,53.8087,52.0,68.0,zb005,1.0,0.0,1
f42_ds1_050,log,factor,77.1026,72.0,88.0,zb005,1.0,0.0,1
f42_ds1_055,log,factor,101.785,95.0,115.0,zb005,1.0,0.0,1
f42_ds1_060,log,factor,161.444,145.0,180.0,zb005,1.0,0.0,1
f42_ds1_065,log,factor,214.307,200.0,225.0,zb005,1.0,0.0,1
f42_ds1_070,log,factor,283.978,260.0,300.0,zb005,1.0,0.0,1
f42_ds1_075,log,factor,371.629,330.0,390.0,zb005,1.0,0.0,1
f42_ds1_080,log,factor,439.787,420.0,480.0,zb005,1.0,0.0,1
f43_ds2_015,log,factor,0.699723,0.1,3.1,zb003,1.0,-0.1,1
f43_ds2_020,log,factor,6.36234,5.0,9.0,zb003,1.0,0.0,1
f43_ds1_025,log,factor,7.79922,3.0,10.0,zb003,1.0,0.0,1
f43_ds2_025,log,factor,23.9088,18.0,30.0,zb003,1.0,0.0,1
f43_ds1_030,log,factor,19.1708,16.0,24.0,zb003,1.0,0.0,1
f43_ds2_030,log,factor,37.6872,34.0,41.0,zb003,1.0,0.0,1
f43_ds1_035,log,factor,41.5639,26.0,60.0,zb003,1.0,0.0,1
f43_ds2_035,log,factor,50.6027,46.0,54.0,zb003,1.0,0.0,1
f43_ds1_040,log,factor,133.566,90.0,140.0,zb003,1.0,0.0,1
f43_ds2_040,log,factor,60.5521,56.0,64.0,zb003,1.0,0.0,1
f43_ds1_045,log,factor,159.375,150.0,190.0,zb003,1.0,0.0,1
f43_ds1_050,log,factor,215.702,210.0,240.0,zb003,1.0,0.0,1
f43_ds1_055,log,factor,285.785,260.0,305.0,zb003,1.0,0.0,1
f43_ds1_060,log,factor,357.671,350.0,380.0,zb003,1.0,0.0,1
f44_ds2_020,log,factor,0.785147,0.1,4.1,zb001,1.0,-0.1,1
f44_ds1_025,log,factor,5.26745,4.0,10.0,zb001,1.0,0.0,1
f44_ds1_030,log,factor,21.214,16.0,24.0,zb001,1.0,0.0,1
f44_ds1_035,log,factor,28.4626,26.0,34.0,zb001,1.0,0.0,1
f44_ds1_040,log,factor,48.4799,40.0,55.0,zb001,1.0,0.0,1
f44_ds1_045,log,factor,73.5195,65.0,91.0,zb001,1.0,0.0,1
f44_ds1_050,log,factor,123.758,110.0,140.0,zb001,1.0,0.0,1
f44_ds1_055,log,factor,164.422,155.0,195.0,zb001,1.0,0.0,1
f44_ds1_060,log,factor,226.007,210.0,260.0,zb001,1.0,0.0,1
f44_ds1_065,log,factor,310.575,300.0,340.0,zb001,1.0,0.0,1
f44_ds1_070,log,factor,415.936,365.0,425.0,zb001,1.0,0.0,1
f50_ds2_015,log,factor,3.43779,1.5,6.0,zb003,1.0,0.0,1
f50_ds2_020,log,factor,8.59691,7.0,11.0,zb003,1.0,0.0,1
f50_ds1_025,log,factor,4.37147,2.0,8.0,zb003,1.0,0.0,1
f50_ds2_025,log,factor,17.8469,14.0,20.0,zb003,1.0,0.0,1
f50_ds1_030,log,factor,19.8149,16.0,24.0,zb003,1.0,0.0,1
f50_ds2_030,log,factor,23.1945,21.0,27.0,zb003,1.0,0.0,1
f50_ds1_035,log,factor,36.1382,26.0,60.0,zb003,1.0,0.0,1
f50_ds2_035,log,factor,29.0248,29.0,32.0,zb003,1.0,0.0,1
f50_ds1_040,log,factor,134.378,100.0,140.0,zb003,1.0,0.0,1
f50_ds1_045,log,factor,162.987,150.0,170.0,zb003,1.0,0.0,1
f50_ds1_050,log,factor,203.583,185.0,210.0,zb003,1.0,0.0,1
f50_ds1_055,log,factor,248.317,230.0,265.0,zb003,1.0,0.0,1
f50_ds1_060,log,factor,309.107,290.0,330.0,zb003,1.0,0.0,1
f50_ds1_065,log,factor,369.076,350.0,400.0,zb003,1.0,0.0,1
f51_ds2_010,log,factor,0.694166,0.1,2.1,zb003,1.0,-0.1,1
