name,value,group,weight
wp_bp_0011_20210427,406.192,valid,0
wp_bp_0011_20210527,410.803,valid,0
wp_bp_0011_20210611,411.602,valid,0
wp_bp_0011_20210727,411.257,valid,0
wp_bp_0011_20210811,411.02,valid,0
wo_bp_0011_20150101,397.354,oobs,0
wo_bp_0011_20150201,397.832,oobs,0
wo_bp_0011_20150301,398.019,oobs,0
wo_bp_0011_20150401,398.158,oobs,0
wo_bp_0011_20150501,398.26,oobs,0
wo_bp_0011_20150601,398.394,oobs,0
wo_bp_0011_20150701,398.558,oobs,0
wo_bp_0011_20150801,398.688,oobs,0
wo_bp_0011_20150901,398.727,oobs,0
wo_bp_0011_20151001,398.691,oobs,0
wo_bp_0011_20151101,398.662,oobs,0
wo_bp_0011_20151201,398.733,oobs,0
wo_bp_0011_20160101,398.846,oobs,0
wo_bp_0011_20160201,398.929,oobs,0
wo_bp_0011_20160301,398.949,oobs,0
wo_bp_0011_20160401,398.974,oobs,0
wo_bp_0011_20160501,399.026,oobs,0
wo_bp_0011_20160601,399.102,oobs,0
wo_bp_0011_20160701,399.171,oobs,0
wo_bp_0011_20160801,399.176,oobs,0
wo_bp_0011_20160901,399.133,oobs,0
wo_bp_0011_20161001,399.072,oobs,0
wo_bp_0011_20161101,398.994,oobs,0
wo_bp_0011_20161201,398.946,oobs,0
wo_bp_0011_20170101,398.939,oobs,0
wo_bp_0011_20170201,398.927,oobs,0
wo_bp_0011_20170301,398.907,oobs,0
wo_bp_0011_20170401,398.874,oobs,0
wo_bp_0011_20170501,398.814,oobs,0
wo_bp_0011_20170601,398.718,oobs,0
wo_bp_0011_20170701,398.596,oobs,0
wo_bp_0011_20170801,398.457,oobs,0
wo_bp_0011_20170901,398.315,oobs,0
wo_bp_0011_20171001,398.183,oobs,0
wo_bp_0011_20171101,398.067,oobs,0
wo_bp_0011_20171201,397.943,oobs,0
wo_bp_0011_20180101,397.817,oobs,0
wo_bp_0011_20180201,397.697,oobs,0
wo_bp_0011_20180301,397.572,oobs,0
wo_bp_0011_20180401,397.44,oobs,0
wo_bp_0011_20180501,397.308,oobs,0
wo_bp_0011_20180601,397.176,oobs,0
wo_bp_0011_20180701,397.046,oobs,0
wo_bp_0011_20180801,396.916,oobs,0
wo_bp_0011_20180901,396.803,oobs,0
wo_bp_0011_20181001,396.829,oobs,0
wo_bp_0011_20181101,397,oobs,0
wo_bp_0011_20181201,397.207,oobs,0
wo_bp_0011_20190101,397.4,oobs,0
wo_bp_0011_20190201,397.582,oobs,0
wo_bp_0011_20190301,397.708,oobs,0
wo_bp_0011_20190401,397.744,oobs,0
wo_bp_0011_20190501,397.746,oobs,0
wo_bp_0011_20190601,397.821,oobs,0
wo_bp_0011_20190701,397.902,oobs,0
