obsnme                             value 
wo_bp_0011_20161201       3.98700381E+02 
wo_bp_0011_20170101       3.98670054E+02 
wo_bp_0011_20170201       3.98647545E+02 
wo_bp_0011_20170301       3.98615948E+02 
wo_bp_0011_20170401       3.98576259E+02 
wo_bp_0011_20170501       3.98515247E+02 
wo_bp_0011_20170601       3.98422696E+02 
wo_bp_0011_20170701       3.98301842E+02 
wo_bp_0011_20170801       3.98161303E+02 
wo_bp_0011_20170901       3.98015094E+02 
wo_bp_0011_20171001       3.97873231E+02 
wo_bp_0011_20171101       3.97747146E+02 
wo_bp_0011_20171201       3.97619365E+02 
wo_bp_0011_20180101       3.97484074E+02 
wo_bp_0011_20180201       3.97355228E+02 
wo_bp_0011_20180301       3.97223356E+02 
wo_bp_0011_20180401       3.97084526E+02 
wo_bp_0011_20180501       3.96945113E+02 
wo_bp_0011_20180601       3.96806489E+02 
wo_bp_0011_20180701       3.96669420E+02 
wo_bp_0011_20180801       3.96531978E+02 
wo_bp_0011_20180901       3.96403118E+02 
wo_bp_0011_20181001       3.96367413E+02 
wo_bp_0011_20181101       3.96491625E+02 
wo_bp_0011_20181201       3.96686476E+02 
wo_bp_0011_20190101       3.96867649E+02 
wo_bp_0011_20190201       3.97036766E+02 
wo_bp_0011_20190301       3.97167452E+02 
wo_bp_0011_20190401       3.97213777E+02 
wo_bp_0011_20190501       3.97201559E+02 
wo_bp_0011_20190601       3.97246971E+02 
wo_bp_0011_20190701       3.97327832E+02 
wo_bp_0011_20190801       3.97353442E+02 
wo_bp_0011_20190901       3.97296598E+02 
wo_bp_0011_20191001       3.97182298E+02 
wo_bp_0011_20191101       3.97037703E+02 
wo_bp_0011_20191201       3.96878845E+02 
wo_bp_0011_20200101       3.96711822E+02 
wo_bp_0011_20200201       3.96549761E+02 
wo_bp_0011_20200301       3.96407816E+02 
wo_bp_0011_20200401       3.96311709E+02 
wo_bp_0011_20200501       3.96264791E+02 
wo_bp_0011_20200601       3.96269335E+02 
wo_bp_0011_20200701       3.96358033E+02 
wo_bp_0011_20200801       3.96411890E+02 
wo_bp_0011_20200901       3.96375961E+02 
wo_bp_0011_20201001       3.96309587E+02 
wo_bp_0011_20201101       3.96230701E+02 
wo_bp_0011_20201201       3.96116141E+02 
wo_bp_0011_20210101       3.95973322E+02 
wo_bp_0011_20210201       3.95825301E+02 
wo_bp_0011_20210301       3.95673064E+02 
wo_bp_0011_20210401       3.95515744E+02 
wo_bp_0011_20210501       3.95360591E+02 
wo_bp_0011_20210601       3.95248223E+02 
wo_bp_0011_20210701       3.95280181E+02 
wo_bp_0011_20210801       3.95417080E+02 
wo_bp_0011_20210901       3.95518634E+02 
wo_bp_0011_20211001       3.95514739E+02 
wo_bp_0011_20211101       3.95436879E+02 
wo_bp_0011_20211201       3.95340742E+02 
wp_bp_0013_20180216       3.64072340E+02 
wp_bp_0013_20180313       3.64015836E+02 
wp_bp_0013_20180418       3.63933227E+02 
wp_bp_0013_20180515       3.63868592E+02 
wp_bp_0013_20180618       3.63783936E+02 
wp_bp_0013_20180720       3.63701860E+02 
wp_bp_0013_20180820       3.63620586E+02 
wp_bp_0013_20181014       3.63470634E+02 
wp_bp_0013_20181109       3.63401720E+02 
wp_bp_0013_20181221       3.63298392E+02 
wp_bp_0013_20190221       3.63163377E+02 
wp_bp_0013_20190319       3.63115246E+02 
wp_bp_0013_20190409       3.63079271E+02 
wp_bp_0013_20190506       3.63034540E+02 
wp_bp_0013_20190606       3.62987872E+02 
wp_bp_0013_20190711       3.62942039E+02 
wp_bp_0013_20190808       3.62910852E+02 
wp_bp_0013_20190909       3.62877392E+02 
wp_bp_0013_20191015       3.62840699E+02 
wp_bp_0013_20191120       3.62803308E+02 
wp_bp_0013_20191218       3.62772862E+02 
wp_bp_0013_20200114       3.62741862E+02 
wp_bp_0013_20200219       3.62694361E+02 
wp_bp_0013_20200317       3.62656539E+02 
wp_bp_0013_20200429       3.62590899E+02 
wp_bp_0013_20200520       3.62557224E+02 
wp_bp_0013_20200622       3.62501269E+02 
wp_bp_0013_20200709       3.62472982E+02 
wp_bp_0013_20200811       3.62419176E+02 
wp_bp_0013_20200924       3.62345499E+02 
wp_bp_0013_20201026       3.62292221E+02 
wp_bp_0013_20201124       3.62242232E+02 
wp_bp_0013_20210118       3.62147069E+02 
wp_bp_0013_20210225       3.62074425E+02 
wp_bp_0013_20210324       3.62024700E+02 
wp_bp_0013_20210427       3.61959130E+02 
wp_bp_0013_20210527       3.61900504E+02 
wp_bp_0013_20210611       3.61869960E+02 
wp_bp_0013_20210727       3.61777084E+02 
wp_bp_0013_20210811       3.61747435E+02 
wo_bp_0013_20150101       3.64662900E+02 
wo_bp_0013_20150201       3.64613962E+02 
wo_bp_0013_20150301       3.64578332E+02 
wo_bp_0013_20150401       3.64553203E+02 
wo_bp_0013_20150501       3.64533234E+02 
wo_bp_0013_20150601       3.64517071E+02 
wo_bp_0013_20150701       3.64508823E+02 
wo_bp_0013_20150801       3.64508923E+02 
wo_bp_0013_20150901       3.64512360E+02 
wo_bp_0013_20151001       3.64517032E+02 
wo_bp_0013_20151101       3.64520499E+02 
wo_bp_0013_20151201       3.64525704E+02 
wo_bp_0013_20160101       3.64535420E+02 
wo_bp_0013_20160201       3.64545781E+02 
wo_bp_0013_20160301       3.64557275E+02 
wo_bp_0013_20160401       3.64568561E+02 
wo_bp_0013_20160501       3.64577987E+02 
wo_bp_0013_20160601       3.64586489E+02 
wo_bp_0013_20160701       3.64596959E+02 
wo_bp_0013_20160801       3.64609234E+02 
wo_bp_0013_20160901       3.64618865E+02 
wo_bp_0013_20161001       3.64625618E+02 
wo_bp_0013_20161101       3.64627761E+02 
wo_bp_0013_20161201       3.64624383E+02 
wo_bp_0013_20170101       3.64615873E+02 
wo_bp_0013_20170201       3.64599703E+02 
wo_bp_0013_20170301       3.64579187E+02 
wo_bp_0013_20170401       3.64554869E+02 
wo_bp_0013_20170501       3.64525832E+02 
wo_bp_0013_20170601       3.64492291E+02 
wo_bp_0013_20170701       3.64454463E+02 
wo_bp_0013_20170801       3.64412311E+02 
wo_bp_0013_20170901       3.64365508E+02 
wo_bp_0013_20171001       3.64314742E+02 
wo_bp_0013_20171101       3.64260149E+02 
wo_bp_0013_20171201       3.64202112E+02 
wo_bp_0013_20180101       3.64140319E+02 
wo_bp_0013_20180201       3.64075735E+02 
wo_bp_0013_20180301       3.64009098E+02 
wo_bp_0013_20180401       3.63939055E+02 
wo_bp_0013_20180501       3.63866062E+02 
wo_bp_0013_20180601       3.63790239E+02 
wo_bp_0013_20180701       3.63712075E+02 
wo_bp_0013_20180801       3.63631111E+02 
wo_bp_0013_20180901       3.63548467E+02 
wo_bp_0013_20181001       3.63465387E+02 
wo_bp_0013_20181101       3.63385067E+02 
wo_bp_0013_20181201       3.63310238E+02 
wo_bp_0013_20190101       3.63240464E+02 
wo_bp_0013_20190201       3.63177242E+02 
wo_bp_0013_20190301       3.63120666E+02 
wo_bp_0013_20190401       3.63068337E+02 
wo_bp_0013_20190501       3.63019154E+02 
wo_bp_0013_20190601       3.62974756E+02 
wo_bp_0013_20190701       3.62936422E+02 
wo_bp_0013_20190801       3.62902506E+02 
wo_bp_0013_20190901       3.62870588E+02 
wo_bp_0013_20191001       3.62839689E+02 
wo_bp_0013_20191101       3.62808136E+02 
wo_bp_0013_20191201       3.62774951E+02 
wo_bp_0013_20200101       3.62739319E+02 
wo_bp_0013_20200201       3.62699950E+02 
wo_bp_0013_20200301       3.62657800E+02 
wo_bp_0013_20200401       3.62612357E+02 
wo_bp_0013_20200501       3.62563612E+02 
wo_bp_0013_20200601       3.62512411E+02 
wo_bp_0013_20200701       3.62461583E+02 
wo_bp_0013_20200801       3.62410975E+02 
wo_bp_0013_20200901       3.62359982E+02 
wo_bp_0013_20201001       3.62308799E+02 
wo_bp_0013_20201101       3.62257010E+02 
wo_bp_0013_20201201       3.62204449E+02 
wo_bp_0013_20210101       3.62150539E+02 
wo_bp_0013_20210201       3.62095236E+02 
wo_bp_0013_20210301       3.62039326E+02 
wo_bp_0013_20210401       3.61981642E+02 
wo_bp_0013_20210501       3.61922079E+02 
wo_bp_0013_20210601       3.61860696E+02 
wo_bp_0013_20210701       3.61798986E+02 
wo_bp_0013_20210801       3.61737602E+02 
wo_bp_0013_20210901       3.61677793E+02 
wo_bp_0013_20211001       3.61618450E+02 
wo_bp_0013_20211101       3.61559439E+02 
wo_bp_0013_20211201       3.61500753E+02 
wo_bp_0014_20150101       3.44938403E+02 
wo_bp_0014_20150201       3.44961072E+02 
wo_bp_0014_20150301       3.44993798E+02 
wo_bp_0014_20150401       3.45031251E+02 
wo_bp_0014_20150501       3.45069798E+02 
wo_bp_0014_20150601       3.45108112E+02 
wo_bp_0014_20150701       3.45145556E+02 
wo_bp_0014_20150801       3.45182483E+02 
wo_bp_0014_20150901       3.45217645E+02 
wo_bp_0014_20151001       3.45251657E+02 
wo_bp_0014_20151101       3.45284573E+02 
wo_bp_0014_20151201       3.45316457E+02 
wo_bp_0014_20160101       3.45347955E+02 
wo_bp_0014_20160201       3.45377707E+02 
wo_bp_0014_20160301       3.45406852E+02 
wo_bp_0014_20160401       3.45435950E+02 
wo_bp_0014_20160501       3.45464548E+02 
wo_bp_0014_20160601       3.45492702E+02 
wo_bp_0014_20160701       3.45520496E+02 
wo_bp_0014_20160801       3.45548475E+02 
wo_bp_0014_20160901       3.45575788E+02 
wo_bp_0014_20161001       3.45602904E+02 
wo_bp_0014_20161101       3.45629802E+02 
wo_bp_0014_20161201       3.45656436E+02 
wo_bp_0014_20170101       3.45683211E+02 
wo_bp_0014_20170201       3.45708414E+02 
wo_bp_0014_20170301       3.45733355E+02 
wo_bp_0014_20170401       3.45758908E+02 
wo_bp_0014_20170501       3.45784256E+02 
wo_bp_0014_20170601       3.45809430E+02 
wo_bp_0014_20170701       3.45834435E+02 
wo_bp_0014_20170801       3.45859667E+02 
wo_bp_0014_20170901       3.45884287E+02 
wo_bp_0014_20171001       3.45908675E+02 
wo_bp_0014_20171101       3.45932808E+02 
wo_bp_0014_20171201       3.45956670E+02 
wo_bp_0014_20180101       3.45980636E+02 
wo_bp_0014_20180201       3.46003170E+02 
wo_bp_0014_20180301       3.46025428E+02 
wo_bp_0014_20180401       3.46048157E+02 
wo_bp_0014_20180501       3.46070586E+02 
wo_bp_0014_20180601       3.46092710E+02 
wo_bp_0014_20180701       3.46114514E+02 
wo_bp_0014_20180801       3.46136335E+02 
wo_bp_0014_20180901       3.46157457E+02 
wo_bp_0014_20181001       3.46178237E+02 
wo_bp_0014_20181101       3.46198749E+02 
wo_bp_0014_20181201       3.46219097E+02 
wo_bp_0014_20190101       3.46239710E+02 
wo_bp_0014_20190201       3.46259334E+02 
wo_bp_0014_20190301       3.46279004E+02 
wo_bp_0014_20190401       3.46299354E+02 
wo_bp_0014_20190501       3.46319638E+02 
wo_bp_0014_20190601       3.46339783E+02 
wo_bp_0014_20190701       3.46359753E+02 
wo_bp_0014_20190801       3.46379830E+02 
wo_bp_0014_20190901       3.46399326E+02 
wo_bp_0014_20191001       3.46418517E+02 
wo_bp_0014_20191101       3.46437347E+02 
wo_bp_0014_20191201       3.46455752E+02 
wo_bp_0014_20200101       3.46473981E+02 
wo_bp_0014_20200201       3.46491138E+02 
wo_bp_0014_20200301       3.46507804E+02 
wo_bp_0014_20200401       3.46524262E+02 
wo_bp_0014_20200501       3.46540231E+02 
wo_bp_0014_20200601       3.46555737E+02 
wo_bp_0014_20200701       3.46570838E+02 
wo_bp_0014_20200801       3.46585836E+02 
wo_bp_0014_20200901       3.46600279E+02 
wo_bp_0014_20201001       3.46614425E+02 
wo_bp_0014_20201101       3.46628264E+02 
wo_bp_0014_20201201       3.46641766E+02 
wo_bp_0014_20210101       3.46655119E+02 
wo_bp_0014_20210201       3.46667463E+02 
wo_bp_0014_20210301       3.46679431E+02 
wo_bp_0014_20210401       3.46691417E+02 
wo_bp_0014_20210501       3.46702997E+02 
wo_bp_0014_20210601       3.46714180E+02 
wo_bp_0014_20210701       3.46724978E+02 
wo_bp_0014_20210801       3.46735597E+02 
wo_bp_0014_20210901       3.46745720E+02 
wo_bp_0014_20211001       3.46755536E+02 
wo_bp_0014_20211101       3.46765054E+02 
wo_bp_0014_20211201       3.46774267E+02 
wp_bp_0018_20150113       3.98743788E+02 
wp_bp_0018_20150218       3.98375896E+02 
wp_bp_0018_20150318       3.98121421E+02 
wp_bp_0018_20150415       3.97783135E+02 
wp_bp_0018_20150524       3.98344260E+02 
wp_bp_0018_20150610       3.98608260E+02 
wp_bp_0018_20150712       3.98821807E+02 
wp_bp_0018_20150819       3.98031660E+02 
wp_bp_0018_20150915       3.97439991E+02 
wp_bp_0018_20151014       3.96969841E+02 
wp_bp_0018_20151118       3.98186747E+02 
wp_bp_0018_20151215       3.98581590E+02 
wp_bp_0018_20160118       3.98629865E+02 
wp_bp_0018_20160216       3.98021436E+02 
wp_bp_0018_20160323       3.98101907E+02 
wp_bp_0018_20160422       3.98265931E+02 
wp_bp_0018_20160517       3.98538077E+02 
wp_bp_0018_20160614       3.98814520E+02 
wp_bp_0018_20160721       3.98249497E+02 
wp_bp_0018_20160817       3.97614407E+02 
wp_bp_0018_20160912       3.97556856E+02 
wp_bp_0018_20161026       3.97057232E+02 
wp_bp_0018_20161123       3.97261989E+02 
wp_bp_0018_20161222       3.97774519E+02 
wp_bp_0018_20170110       3.97597403E+02 
wp_bp_0018_20170208       3.97478079E+02 
wp_bp_0018_20170317       3.97530249E+02 
wp_bp_0018_20170419       3.97196863E+02 
wp_bp_0018_20170512       3.96845827E+02 
wp_bp_0018_20170613       3.96399213E+02 
wp_bp_0018_20170711       3.96065624E+02 
wp_bp_0018_20170816       3.95687451E+02 
wp_bp_0018_20170915       3.95478613E+02 
wp_bp_0018_20171017       3.95532264E+02 
wp_bp_0018_20171114       3.95248098E+02 
wp_bp_0018_20171218       3.94934493E+02 
wp_bp_0018_20180112       3.94846074E+02 
wp_bp_0018_20180216       3.94554945E+02 
wp_bp_0018_20180313       3.94368479E+02 
wp_bp_0018_20180418       3.94121604E+02 
wp_bp_0018_20180515       3.93948592E+02 
wp_bp_0018_20190618       3.97654111E+02 
wp_bp_0018_20180720       3.93558353E+02 
wp_bp_0018_20180820       3.93385514E+02 
wp_bp_0018_20180915       3.93629286E+02 
wp_bp_0018_20181014       3.95769074E+02 
wp_bp_0018_20181109       3.96918704E+02 
wp_bp_0018_20181221       3.97060821E+02 
wp_bp_0018_20190220       3.97538080E+02 
wp_bp_0018_20190319       3.96860862E+02 
wp_bp_0018_20190409       3.96334945E+02 
wp_bp_0018_20190506       3.96469099E+02 
wp_bp_0018_20190606       3.97770378E+02 
wp_bp_0018_20190711       3.97354472E+02 
wp_bp_0018_20190808       3.96569645E+02 
wp_bp_0018_20190911       3.95837848E+02 
wp_bp_0018_20191015       3.95279344E+02 
wp_bp_0018_20191119       3.94814555E+02 
wp_bp_0018_20191218       3.94485276E+02 
wp_bp_0018_20200114       3.94211141E+02 
wp_bp_0018_20200219       3.94001496E+02 
wp_bp_0018_20200317       3.94359673E+02 
wp_bp_0018_20200429       3.94890818E+02 
wp_bp_0018_20200520       3.94866533E+02 
wp_bp_0018_20200622       3.96593223E+02 
wp_bp_0018_20200709       3.96367876E+02 
wp_bp_0018_20200811       3.95375764E+02 
